cprice,href,position,price,roomnum
1208,https://www.qk365.com/room/49077,宝山区-罗店-美罗家园美文苑,1723元/月,A0048898A
741,https://www.qk365.com/room/101821,浦东新区-惠南镇-英雄新村小区,1524元/月,A0101543C
900,https://www.qk365.com/room/106397,奉贤区-柘林-如意家园,1515元/月,A0106119B
1212,https://www.qk365.com/room/92510,松江区-莘闵-金地都会艺境,2452元/月,A0092262C
1365,https://www.qk365.com/room/59214,松江区-车墩镇-松南城华乐苑,1777元/月,A0058972C
1665,https://www.qk365.com/room/103397,松江区-洞泾-中山茸惠苑,2102元/月,A0103119A
1280,https://www.qk365.com/room/91295,松江区-九亭-知雅汇志成花苑,2571元/月,A0091047C
647,https://www.qk365.com/room/106922,奉贤区-南桥-育秀东区,1340元/月,A0106641C
1368,https://www.qk365.com/room/82039,嘉定区-菊园新区-盛蔷坊,1568元/月,A0081791C
1278,https://www.qk365.com/room/61178,嘉定区-江桥-河东小区,2371元/月,A0060934A
1086,https://www.qk365.com/room/6152,嘉定区-马陆-育苑小区南区,1817元/月,A0003315D
1187,https://www.qk365.com/room/106900,浦东新区-航头-聚航苑一期,2036元/月,A0106619A
1020,https://www.qk365.com/room/54137,宝山区-罗店-美罗家园罗翔苑,1965元/月,A0053958C
729,https://www.qk365.com/room/84079,奉贤区-海湾旅游区-世贸爱马尚郡,1410元/月,A0083831A
625,https://www.qk365.com/room/84077,奉贤区-海湾旅游区-世贸爱马尚郡,1233元/月,A0083829C
798,https://www.qk365.com/room/84076,奉贤区-海湾旅游区-世贸爱马尚郡,1554元/月,A0083828A
904,https://www.qk365.com/room/81446,松江区-松江老城-松南城谷水佳苑,1918元/月,A0081198A
1558,https://www.qk365.com/room/100622,闵行区-浦江镇-瑞和雅苑·壹街区,2206元/月,A0100344B
1205,https://www.qk365.com/room/57892,松江区-中山中路-人民南路,2226元/月,00057648B
2415,https://www.qk365.com/room/81686,浦东新区-唐镇-培元新苑,3230元/月,A0081438B
1840,https://www.qk365.com/room/82223,浦东新区-唐镇-培元新苑,3314元/月,A0081975A
